ZIP Code,Neighborhood,2016 Median Home Price,% Growth 2010-2016,% Growth 2015-2016,Avg. Days on Market in 2016,% Owner Occupied,Population,Median Income,Median Age,% of Population Under 14,% Unemployed
77081,Gulfton,"$267,500.00",-12.90%,4.90%,61.5,6%,44070.0,"$27,191.00",29.6,28%,7%
77008,Heights/Greater Heights,"$459,900.00",48.40%,0.00%,67.7,53%,31418.0,"$77,512.00",35.5,15%,4%
77445,Hempstead,"$126,750.00",10.20%,15.20%,59.7,66%,12662.0,"$44,549.00",32.1,22%,12%
77027,Highland Village/Midlane,"$740,600.00",40.40%,-3.90%,89.8,34%,15510.0,"$82,038.00",36.7,8%,5%
77563,Hitchcock,"$114,900.00",1.70%,-12.30%,84.7,69%,9836.0,"$50,481.00",43.1,19%,8%
77061,Hobby Area,"$124,500.00",50.20%,14.20%,35.6,34%,25519.0,"$33,302.00",29.4,25%,7%
77447,Hockley,"$172,200.00",73.90%,23.90%,48.7,86%,13186.0,"$65,235.00",36.4,23%,4%
77336,Huffman Area,"$184,900.00",38.80%,-5.90%,54.4,77%,11699.0,"$63,814.00",35.8,23%,7%
77338,Humble Area East,"$161,000.00",42.70%,7.30%,37.9,53%,36257.0,"$47,534.00",31.3,24%,8%
77338,Humble Area South,"$108,300.00",74.00%,61.00%,34.8,53%,36257.0,"$47,534.00",31.3,24%,8%
77338,Humble Area West,"$151,000.00",75.70%,15.00%,35.7,53%,36257.0,"$47,534.00",31.3,24%,8%
77040,Jersey Village,"$225,000.00",40.70%,0.80%,37.0,55%,46898.0,"$53,233.00",32.4,22%,5%
77449,Katy-North,"$182,000.00",51.70%,5.80%,32.7,74%,99450.0,"$66,550.00",30.4,27%,8%
77493,Katy-Old Towne,"$257,509.00",71.50%,14.40%,68.2,80%,24577.0,"$76,393.00",33.7,23%,6%
77450,Katy-Southeast,"$284,575.00",30.80%,0.60%,37.6,71%,73269.0,"$99,732.00",36.9,24%,6%
77494,Katy-Southwest,"$335,000.00",23.20%,-4.30%,67.3,86%,79117.0,"$131,694.00",34.7,29%,3%
77345,Kingwood East,"$298,000.00",20.40%,2.80%,45.9,82%,29292.0,"$121,224.00",39.6,23%,3%
77339,Kingwood NW/Oakhurst,"$256,650.00",15.30%,-4.00%,77.1,63%,40683.0,"$72,200.00",38.3,18%,7%
77338,Kingwood South,"$240,000.00",25.70%,7.40%,36.9,53%,36257.0,"$47,534.00",31.3,24%,8%
77339,Kingwood West,"$193,650.00",33.60%,6.00%,32.1,63%,40683.0,"$72,200.00",38.3,18%,7%
77025,Knollwood/Woodside Area,"$430,000.00",35.20%,-7.50%,62.5,45%,27413.0,"$65,524.00",35.3,19%,5%
77568,La Marque,"$137,000.00",73.00%,48.90%,48.1,73%,14886.0,"$43,928.00",35.7,23%,11%
77571,La Porte/Shoreacres,"$159,900.00",35.50%,8.80%,28.8,75%,36580.0,"$69,480.00",36.1,21%,8%
77356,Lake Conroe Area,"$232,618.00",28.20%,3.40%,70.2,89%,24851.0,"$82,181.00",48.2,16%,8%
77351,Lake Livingston Area,"$133,500.00",23.30%,16.10%,98.9,80%,32683.0,"$41,661.00",43.6,16%,9%
77573,League City,"$244,000.00",31.90%,5.90%,40.3,73%,75772.0,"$93,178.00",35.6,23%,4%
77575,Liberty,"$139,900.00",37.80%,16.60%,62.9,75%,16725.0,"$45,792.00",34.7,23%,9%
77354,Magnolia/1488 East,"$284,495.00",32.30%,9.20%,60.4,88%,34551.0,"$77,650.00",36.0,23%,8%
77355,Magnolia/1488 West,"$255,000.00",50.00%,8.50%,58.3,82%,25855.0,"$71,973.00",38.7,23%,8%
77030,Medical Center Area,"$325,000.00",36.80%,-5.80%,36.2,44%,10664.0,"$71,078.00",32.5,15%,4%
77051,Medical Center South,"$122,000.00",83.50%,6.10%,40.2,39%,15216.0,"$23,237.00",34.3,22%,19%
77024,Memorial Close In,"$2,348,200.00",153.90%,26.90%,78.2,70%,36791.0,"$114,864.00",44.5,20%,4%
77007,Memorial Park,"$1,130,000.00",18.60%,-12.40%,108.7,50%,31987.0,"$106,044.00",34.3,10%,3%
77024,Memorial Villages,"$1,368,088.00",41.00%,-14.80%,61.6,70%,36791.0,"$114,864.00",44.5,20%,4%
77079,Memorial West,"$675,000.00",48.40%,-3.60%,55.3,66%,31002.0,"$99,650.00",41.1,21%,5%
77096,Meyerland Area,"$387,500.00",29.00%,-7.90%,59.8,51%,36227.0,"$59,556.00",36.8,21%,7%
77550,Midtown-Galveston,"$149,950.00",56.60%,20.50%,62.6,40%,22134.0,"$31,124.00",38.4,16%,11%
77004,Midtown-Houston,"$397,000.00",50.10%,-9.60%,81.4,33%,34079.0,"$46,059.00",29.0,11%,10%
77083,Mission Bend Area,"$171,000.00",51.30%,9.70%,32.4,71%,73164.0,"$52,075.00",32.5,24%,7%
77459,Missouri City Area,"$179,900.00",48.60%,3.50%,35.7,88%,59800.0,"$107,214.00",37.0,23%,6%
77006,Montrose,"$615,000.00",47.10%,-3.60%,63.6,36%,21144.0,"$69,508.00",35.4,7%,3%
77554,Near West End-Galveston,"$200,000.00",51.50%,6.70%,72.7,62%,8599.0,"$63,405.00",48.2,8%,6%
77015,North Channel,"$137,250.00",54.00%,9.80%,38.6,53%,55635.0,"$42,942.00",28.8,27%,11%
77028,Northeast Houston,"$91,000.00",68.50%,2.20%,38.7,66%,15076.0,"$31,440.00",38.6,22%,16%
77092,Northside,"$105,000.00",112.10%,14.10%,49.1,39%,35087.0,"$37,383.00",32.4,23%,7%
77088,Northwest Houston,"$139,000.00",56.20%,8.60%,34.6,63%,53887.0,"$42,447.00",32.4,26%,12%
77018,Oak Forest East Area,"$388,000.00",76.40%,-2.10%,53.4,67%,27020.0,"$65,919.00",38.5,19%,4%
77092,Oak Forest West Area,"$250,000.00",67.80%,0.40%,46.5,39%,35087.0,"$37,383.00",32.4,23%,7%
77563,Omega Bay,"$289,900.00",73.40%,3.50%,110.7,69%,9836.0,"$50,481.00",43.1,19%,8%
77506,Pasadena,"$137,250.00",46.20%,8.90%,31.5,40%,36225.0,"$29,965.00",27.7,29%,12%
77581,Pearland,"$252,650.00",39.60%,5.30%,37.4,75%,44451.0,"$86,857.00",35.8,23%,4%
77363,Plantersville Area,"$160,500.00",22.50%,23.90%,63.3,82%,3471.0,"$41,714.00",38.9,26%,9%
77357,Porter/New Caney East,"$227,000.00",153.60%,-2.50%,62.5,73%,5225.0,"$54,224.00",41.3,18%,5%
77365,Porter/New Caney West,"$190,000.00",53.50%,0.60%,56.5,70%,26175.0,"$59,071.00",34.1,23%,8%
77007,Rice Military/Washington Corridor,"$449,900.00",30.40%,-4.30%,63.3,50%,31987.0,"$106,044.00",34.3,10%,3%
77005,Rice/Museum District,"$819,200.00",36.60%,10.00%,56.2,73%,26187.0,"$163,802.00",38.7,19%,3%
77019,River Oaks Area,"$2,194,000.00",80.90%,13.90%,99.4,49%,20350.0,"$92,844.00",37.9,12%,3%
77042,Rivercrest,"$2,875,000.00",59.70%,4.20%,230.3,28%,38335.0,"$45,403.00",31.5,19%,7%
77004,Riverside,"$309,000.00",90.70%,-3.10%,59.6,33%,34079.0,"$46,059.00",29.0,11%,10%
77027,Royden Oaks/Afton Oaks,"$832,500.00",4.00%,4.10%,90.3,34%,15510.0,"$82,038.00",36.7,8%,5%
